Problems,Equations,Answers
Noah has 12 pencils. He buys 4 more pencils. How many pencils does Noah have now?,12 + 4,16
Olivia has 9 cupcakes. She buys 7 more cupcakes. How many cupcakes does Olivia have now?,9 + 7,16
Jack has 4 cookies. He buys 6 more cookies. How many cookies does Jack have now?,4 + 6,10
Ava has 11 apples. She buys 3 more apples. How many apples does Ava have now?,11 + 3,14
Ethan has 13 bananas. He buys 2 more bananas. How many bananas does Ethan have now?,13 + 2,15
Lily has 8 strawberries. She buys 7 more strawberries. How many strawberries does Lily have now?,8 + 7,15
Jacob has 3 muffins. He buys 9 more muffins. How many muffins does Jacob have now?,3 + 9,12
Amelia has 5 oranges. She buys 11 more oranges. How many oranges does Amelia have now?,5 + 11,16
Luke has 10 pies. He buys 2 more pies. How many pies does Luke have now?,10 + 2,12
Grace has 7 donuts. She buys 5 more donuts. How many donuts does Grace have now?,7 + 5,12
Aiden has 6 pears. He buys 4 more pears. How many pears does Aiden have now?,6 + 4,10
Harper has 9 melons. She buys 8 more melons. How many melons does Harper have now?,9 + 8,17
Mason has 2 plums. He buys 5 more plums. How many plums does Mason have now?,2 + 5,7
A farmer has 50 apples. He gives away 20. How many apples does he have now?,50 - 20,30
"A toy store has 40 toys. If 15 are sold, how many toys are left?",40 - 15,25
"There are 100 books in a library. If 30 are checked out, how many remain?",100 - 30,70
"A zoo has 60 animals. If 10 are moved to another zoo, how many animals remain?",60 - 10,50
"A store has 80 bottles of juice. If 25 are sold, how many are left?",80 - 25,55
"A school has 200 students. If 50 leave for a field trip, how many are left?",200 - 50,150
"A gardener has 70 flowers. If 20 are picked, how many flowers are left?",70 - 20,50
"A bakery has 90 loaves of bread. If 30 are sold, how many are left?",90 - 30,60
"A class has 50 pencils. If 10 are broken, how many pencils are left?",50 - 10,40
"There are 150 candies in a jar. If 40 are eaten, how many candies are left?",150 - 40,110
"A painter has 75 brushes. If 25 are worn out, how many brushes remain?",75 - 25,50
"A library has 300 magazines. If 100 are checked out, how many are left?",300 - 100,200
"A fruit seller has 200 oranges. If 80 are sold, how many are left?",200 - 80,120
"A restaurant has 60 tables. If 10 are occupied, how many are available?",60 - 10,50
"A toy box has 40 toys. If 15 are taken out, how many toys are left?",40 - 15,25
"A store has 150 chairs. If 70 are sold, how many chairs are left?",150 - 70,80
"A concert hall has 500 seats. If 200 are filled, how many seats are empty?",500 - 200,300
"A bus can carry 40 passengers. If 10 get off, how many seats are still filled?",40 - 10,30
"A bookshop has 120 novels. If 30 are sold, how many novels remain?",120 - 30,90
"A playground has 80 swings. If 20 are broken, how many swings are left?",80 - 20,60
"A workshop has 200 tools. If 50 are used, how many tools remain?",200 - 50,150
"A factory produces 300 toys. If 100 are defective, how many are good?",300 - 100,200
"A candy store has 100 lollipops. If 25 are sold, how many lollipops are left?",100 - 25,75
"A collection has 60 stamps. If 15 are lost, how many stamps are left?",60 - 15,45
"A movie theater has 200 seats. If 50 are reserved, how many are available?",200 - 50,150
"A dog park has 40 dogs. If 10 leave, how many dogs are still there?",40 - 10,30
"A candy jar has 500 candies. If 300 are taken, how many candies are left?",500 - 300,200
"A plant nursery has 150 plants. If 70 are sold, how many plants are left?",150 - 70,80
"A school cafeteria has 100 trays. If 20 are missing, how many are left?",100 - 20,80
"A train has 200 seats. If 50 are reserved, how many seats are still available?",200 - 50,150
"A jewelry store has 250 rings. If 100 are sold, how many rings remain?",250 - 100,150
"A bookstore has 1000 books. If 400 are checked out, how many books are left?",1000 - 400,600
"A pet shop has 200 kittens. If 50 are adopted, how many kittens are left?",200 - 50,150
"A pharmacy has 300 medicines. If 100 are sold, how many are left?",300 - 100,200
"A craft store has 200 yarn balls. If 100 are sold, how many yarn balls are left?",200 - 100,100
"A stadium has 800 seats. If 300 are filled, how many are empty?",800 - 300,500
"A fruit basket has 50 bananas. If 20 are eaten, how many bananas are left?",50 - 20,30
"A computer lab has 60 computers. If 15 are out of order, how many computers are working?",60 - 15,45
"A factory has 500 widgets. If 200 are shipped out, how many are left?",500 - 200,300
"A bakery has 200 pastries. If 50 are sold, how many pastries are left?",200 - 50,150
"A music store has 100 guitars. If 30 are sold, how many guitars remain?",100 - 30,70
A bakery has 70 pastries and sells 20. How many pastries are left?,70 - 20,50
"There are 50 cookies in a jar. If 15 are eaten, how many remain?",50 - 15,35
"A library had 150 books. If 30 books are checked out, how many are left?",150 - 30,120
A farmer has 200 apples. He sells 75. How many apples does he have now?,200 - 75,125
"A school has 120 students. If 25 students go home early, how many are left?",120 - 25,95
"A toy store has 85 toys. If 40 are sold, how many toys remain?",85 - 40,45
"There are 60 chairs in a hall. If 10 chairs are removed, how many are left?",60 - 10,50
"A store has 90 shirts. If 30 shirts are returned, how many shirts are left?",90 - 30,60
"A garden has 45 flowers. If 18 flowers wilt, how many flowers remain?",45 - 18,27
"A cinema has 200 seats. If 80 tickets are sold, how many seats are still available?",200 - 80,120
"A bookstore has 250 books. If 70 are sold, how many books are left?",250 - 70,180
"A restaurant has 120 plates. If 50 are dirty, how many clean plates are left?",120 - 50,70
"A zoo has 300 animals. If 45 are adopted, how many animals are left?",300 - 45,255
"There are 85 bikes in a shop. If 35 bikes are sold, how many bikes remain?",85 - 35,50
"A school has 500 pencils. If 200 pencils are given to students, how many pencils are left?",500 - 200,300
"A company has 150 employees. If 20 leave, how many employees are still there?",150 - 20,130
"A park has 400 trees. If 50 are cut down, how many trees are left?",400 - 50,350
"A bakery made 60 cakes. If 22 are sold, how many cakes remain?",60 - 22,38
"There are 300 oranges in a crate. If 90 are used for juice, how many oranges are left?",300 - 90,210
"A bank has 1,000 dollars. If a customer withdraws 350 dollars, how much is left?",1000 - 350,650
"A concert hall has 500 seats. If 180 tickets are sold, how many seats are left?",500 - 180,320
"A candy store has 120 candies. If 35 are bought, how many candies remain?",120 - 35,85
"A classroom has 40 desks. If 10 desks are broken, how many are left?",40 - 10,30
"A farmer has 90 chickens. If 20 are sold, how many chickens are left?",90 - 20,70
"A pet store has 70 fish. If 25 are sold, how many fish remain?",70 - 25,45
"There are 500 tickets for a show. If 120 are sold, how many are left?",500 - 120,380
"A delivery truck had 250 packages. If 85 packages are delivered, how many are left?",250 - 85,165
"A gym has 300 members. If 60 cancel their memberships, how many members remain?",300 - 60,240
"A chef has 100 ingredients. If 40 are used, how many are left?",100 - 40,60
"A toy factory produced 150 dolls. If 45 are defective, how many good dolls are there?",150 - 45,105
"A movie theater has 200 seats. If 90 tickets are sold, how many seats are left?",200 - 90,110
"A classroom has 50 books. If 15 are checked out, how many are left?",50 - 15,35
"A hotel has 150 rooms. If 30 are occupied, how many rooms are available?",150 - 30,120
"A baker made 40 loaves of bread. If 18 are sold, how many loaves remain?",40 - 18,22
"A garden has 60 vegetables. If 20 are harvested, how many vegetables are left?",60 - 20,40
"A bakery has 80 cupcakes. If 25 are sold, how many cupcakes remain?",80 - 25,55
"There are 350 students in a school. If 100 graduate, how many students are left?",350 - 100,250
"A car dealership has 200 cars. If 75 are sold, how many cars remain?",200 - 75,125
"A school has 60 computers. If 10 are broken, how many are left?",60 - 10,50
"A city has 1,000 streetlights. If 150 are out, how many are working?",1000 - 150,850
"A farmer has 120 sheep. If 30 sheep are sold, how many sheep are left?",120 - 30,90
"A toy shop has 200 dolls. If 45 are sold, how many dolls remain?",200 - 45,155
"A library has 400 magazines. If 150 are checked out, how many magazines are left?",400 - 150,250
"A restaurant has 90 menus. If 20 menus are damaged, how many menus are left?",90 - 20,70
"A bank has 1,200 dollars. If a customer deposits 300 dollars, how much is left?",1200 - 300,900
"A supermarket has 250 items on sale. If 70 are sold, how many items are left?",250 - 70,180
"A park has 80 benches. If 25 are removed, how many benches are left?",80 - 25,55
"A bakery has 200 cookies. If 60 are sold, how many cookies remain?",200 - 60,140
"A warehouse has 500 boxes. If 175 are shipped out, how many boxes are left?",500 - 175,325
"A family has 100 photos. If 45 are printed, how many are left to print?",100 - 45,55
"A flower shop has 150 roses. If 40 are sold, how many roses remain?",150 - 40,110
"A stadium has 500 seats. If 200 are reserved, how many are left?",500 - 200,300
"A pet shop has 60 kittens. If 15 are adopted, how many kittens are left?",60 - 15,45
"A museum has 300 exhibits. If 50 are temporary, how many permanent exhibits are there?",300 - 50,250
"A school has 80 teachers. If 20 retire, how many teachers are left?",80 - 20,60
"A pharmacy has 150 medications. If 30 are expired, how many medications are still good?",150 - 30,120
"A restaurant has 120 chairs. If 40 are broken, how many chairs are left?",120 - 40,80
"A library has 400 DVDs. If 100 are rented out, how many DVDs are left?",400 - 100,300
"There are 3 apples in each basket. If you have 4 baskets, how many apples do you have?",3 × 4,12
"A dog has 5 toys. If there are 2 dogs, how many toys are there in total?",5 × 2,10
Each pack of pencils contains 6 pencils. How many pencils are there in 3 packs?,6 × 3,18
"You buy 4 bottles of water, and each bottle has 2 liters. How many liters of water do you have?",4 × 2,8
A car has 2 doors on each side. How many doors does a car have?,2 × 4,8
"There are 5 candies in each bag. If you have 3 bags, how many candies do you have?",5 × 3,15
A classroom has 4 rows of desks with 5 desks in each row. How many desks are there in total?,4 × 5,20
Each cookie costs $3. How much do 2 cookies cost?,3 × 2,6
You see 7 birds on each tree. How many birds are there on 2 trees?,7 × 2,14
"A pack of gum contains 10 pieces. If you have 1 pack, how many pieces do you have?",10 × 1,10
"A farmer has 4 fields, and each field has 5 apple trees. How many apple trees are there in total?",4 × 5,20
There are 7 days in a week. How many days are there in 5 weeks?,7 × 5,35
"A box can hold 6 packs of gum. If there are 8 boxes, how many packs of gum are there in total?",6 × 8,48
A car travels 60 miles per hour. How far will it travel in 3 hours?,60 × 3,180
"A teacher has 5 classes, and each class has 24 students. How many students does the teacher have in total?",5 × 24,120
Each bag of flour weighs 2 pounds. How much do 10 bags of flour weigh?,2 × 10,20
"There are 9 crayons in each box. If you have 4 boxes, how many crayons do you have in total?",9 × 4,36
"A baker makes 12 cookies per tray. If he bakes 3 trays, how many cookies does he make?",12 × 3,36
Each movie ticket costs $8. How much do 5 tickets cost?,8 × 5,40
"A gardener plants 11 flowers in each row. If there are 3 rows, how many flowers are planted in total?",11 × 3,33
"A farmer has 8 fields, and each field has 3 cows. How many cows does the farmer have?",8 × 3,24
"There are 6 cupcakes in each box. If you have 4 boxes, how many cupcakes do you have?",6 × 4,24
"A gardener plants 2 rows of flowers, and each row has 5 flowers. How many flowers are there in total?",2 × 5,10
Each toy costs $4. How much do 5 toys cost?,4 × 5,20
A bakery makes 3 loaves of bread every hour. How many loaves does it make in 6 hours?,3 × 6,18
"There are 4 chairs at each table. If you have 5 tables, how many chairs do you have?",4 × 5,20
"A box has 3 layers, and each layer has 6 chocolates. How many chocolates are in the box?",3 × 6,18
"Each flower pot contains 7 flowers. If you have 4 pots, how many flowers do you have?",7 × 4,28
"A book has 5 chapters, and each chapter has 10 pages. How many pages are in the book?",5 × 10,50
"If you run 4 miles every day for 5 days, how many miles do you run in total?",4 × 5,20
"Each fruit basket holds 8 oranges. If you have 3 baskets, how many oranges do you have?",8 × 3,24
"Rahul has 1 apples in each bag. If Rahul has 1 bags, how many apples does Rahul have in total?",1 × 1,1
"Priya has 2 toys in each bag. If Priya has 2 bags, how many toys does Priya have in total?",2 × 2,4
"Amit has 3 pencils in each bag. If Amit has 3 bags, how many pencils does Amit have in total?",3 × 3,9
"Neha has 4 bottles of water in each bag. If Neha has 4 bags, how many bottles of water does Neha have in total?",4 × 4,16
"Ravi has 5 candies in each bag. If Ravi has 5 bags, how many candies does Ravi have in total?",5 × 5,25
"Sita has 6 cupcakes in each bag. If Sita has 1 bags, how many cupcakes does Sita have in total?",6 × 1,6
"Vikram has 7 flowers in each bag. If Vikram has 2 bags, how many flowers does Vikram have in total?",7 × 2,14
"Anita has 8 books in each bag. If Anita has 3 bags, how many books does Anita have in total?",8 × 3,24
"Rajesh has 9 cars in each bag. If Rajesh has 4 bags, how many cars does Rajesh have in total?",9 × 4,36
"Kiran has 10 oranges in each bag. If Kiran has 5 bags, how many oranges does Kiran have in total?",10 × 5,50
"Deepak has 1 cookies in each bag. If Deepak has 1 bags, how many cookies does Deepak have in total?",1 × 1,1
"Meera has 2 chocolates in each bag. If Meera has 2 bags, how many chocolates does Meera have in total?",2 × 2,4
"Suresh has 3 tables in each bag. If Suresh has 3 bags, how many tables does Suresh have in total?",3 × 3,9
"Pooja has 4 miles in each bag. If Pooja has 4 bags, how many miles does Pooja have in total?",4 × 4,16
"Manoj has 5 fruit baskets in each bag. If Manoj has 5 bags, how many fruit baskets does Manoj have in total?",5 × 5,25
"Sunita has 6 loaves of bread in each bag. If Sunita has 1 bags, how many loaves of bread does Sunita have in total?",6 × 1,6
"Vinay has 7 dogs in each bag. If Vinay has 2 bags, how many dogs does Vinay have in total?",7 × 2,14
"Nisha has 8 cats in each bag. If Nisha has 3 bags, how many cats does Nisha have in total?",8 × 3,24
"Akash has 9 balls in each bag. If Akash has 4 bags, how many balls does Akash have in total?",9 × 4,36
"Geeta has 10 chocolate bars in each bag. If Geeta has 5 bags, how many chocolate bars does Geeta have in total?",10 × 5,50
"Ramesh has 1 birds in each bag. If Ramesh has 1 bags, how many birds does Ramesh have in total?",1 × 1,1
"Riya has 2 chairs in each bag. If Riya has 2 bags, how many chairs does Riya have in total?",2 × 2,4
"Shiv has 3 socks in each bag. If Shiv has 3 bags, how many socks does Shiv have in total?",3 × 3,9
"Rita has 4 hats in each bag. If Rita has 4 bags, how many hats does Rita have in total?",4 × 4,16
"Ajay has 5 games in each bag. If Ajay has 5 bags, how many games does Ajay have in total?",5 × 5,25
"Kavita has 6 boxes in each bag. If Kavita has 1 bags, how many boxes does Kavita have in total?",6 × 1,6
"Tanvi has 7 crayons in each bag. If Tanvi has 2 bags, how many crayons does Tanvi have in total?",7 × 2,14
"Mohit has 8 strawberries in each bag. If Mohit has 3 bags, how many strawberries does Mohit have in total?",8 × 3,24
"Nikhil has 9 keychains in each bag. If Nikhil has 4 bags, how many keychains does Nikhil have in total?",9 × 4,36
"Shruti has 10 bicycles in each bag. If Shruti has 5 bags, how many bicycles does Shruti have in total?",10 × 5,50
"There are 1 apples in each box. If you have 1 boxes, how many apples do you have?",1 × 1,1
"There are 2 toys in each box. If you have 2 boxes, how many toys do you have?",2 × 2,4
"There are 3 pencils in each box. If you have 3 boxes, how many pencils do you have?",3 × 3,9
"There are 4 bottles of water in each box. If you have 4 boxes, how many bottles of water do you have?",4 × 4,16
"There are 5 candies in each box. If you have 5 boxes, how many candies do you have?",5 × 5,25
"There are 6 cupcakes in each box. If you have 1 boxes, how many cupcakes do you have?",6 × 1,6
"There are 7 flowers in each box. If you have 2 boxes, how many flowers do you have?",7 × 2,14
"There are 8 books in each box. If you have 3 boxes, how many books do you have?",8 × 3,24
"There are 9 cars in each box. If you have 4 boxes, how many cars do you have?",9 × 4,36
"There are 10 oranges in each box. If you have 5 boxes, how many oranges do you have?",10 × 5,50
"There are 1 cookies in each box. If you have 1 boxes, how many cookies do you have?",1 × 1,1
"There are 2 chocolates in each box. If you have 2 boxes, how many chocolates do you have?",2 × 2,4
"There are 3 tables in each box. If you have 3 boxes, how many tables do you have?",3 × 3,9
"There are 4 miles in each box. If you have 4 boxes, how many miles do you have?",4 × 4,16
"There are 5 fruit baskets in each box. If you have 5 boxes, how many fruit baskets do you have?",5 × 5,25
"There are 6 loaves of bread in each box. If you have 1 boxes, how many loaves of bread do you have?",6 × 1,6
"There are 7 dogs in each box. If you have 2 boxes, how many dogs do you have?",7 × 2,14
"There are 8 cats in each box. If you have 3 boxes, how many cats do you have?",8 × 3,24
"There are 9 balls in each box. If you have 4 boxes, how many balls do you have?",9 × 4,36
"There are 10 candy bars in each box. If you have 5 boxes, how many candy bars do you have?",10 × 5,50
"There are 1 birds in each box. If you have 1 boxes, how many birds do you have?",1 × 1,1
"There are 2 chairs in each box. If you have 2 boxes, how many chairs do you have?",2 × 2,4
"There are 3 socks in each box. If you have 3 boxes, how many socks do you have?",3 × 3,9
"There are 4 hats in each box. If you have 4 boxes, how many hats do you have?",4 × 4,16
"There are 5 games in each box. If you have 5 boxes, how many games do you have?",5 × 5,25
"There are 6 boxes in each box. If you have 1 boxes, how many boxes do you have?",6 × 1,6
"There are 7 crayons in each box. If you have 2 boxes, how many crayons do you have?",7 × 2,14
"There are 8 strawberries in each box. If you have 3 boxes, how many strawberries do you have?",8 × 3,24
"There are 9 keychains in each box. If you have 4 boxes, how many keychains do you have?",9 × 4,36
"There are 10 bicycles in each box. If you have 5 boxes, how many bicycles do you have?",10 × 5,50
A farmer has 12 rows of apple trees. Each row has 15 trees. How many apple trees does he have in total?,12 × 15,180
"A school has 8 classes, and each class has 25 students. How many students are there in total?",8 × 25,200
A baker makes 40 loaves of bread each day. How many loaves does he make in a week (7 days)?,40 × 7,280
"A book costs $15. If you buy 3 books, how much will you spend?",15 × 3,$45
There are 5 packs of crayons. Each pack contains 24 crayons. How many crayons are there in total?,5 × 24,120
A car travels 60 miles per hour. How far does it travel in 4 hours?,60 × 4,240 miles
"A movie theater has 10 rows of seats, and each row has 18 seats. How many seats are there in total?",10 × 18,180
A gardener plants 7 flowers in each of his 9 flower beds. How many flowers does he plant in total?,7 × 9,63
"A toy factory has 2,400 dolls and wants to pack them into boxes of 30. How many boxes will be needed?",2400 / 30,80
"A restaurant has 6,000 plates and wants to distribute them among 150 tables. How many plates will each table receive?",6000 / 150,40
"A bakery has 8,000 cookies and wants to pack them into boxes of 200. How many boxes will be needed?",8000 / 200,40
"A farmer has 1,200 pumpkins to pack into bags of 30. How many bags will he need?",1200 / 30,40
"A grocery store has 9,600 bags of rice to distribute among 120 shelves. How many bags will each shelf hold?",9600 / 120,80
"A restaurant has 5,000 forks to distribute among 100 tables. How many forks will each table receive?",5000 / 100,50
"A bakery has 1,800 cookies and wants to pack them into boxes of 30. How many boxes will be needed?",1800 / 30,60
"A grocery store has 7,200 bags of chips and wants to distribute them among 120 shelves. How many bags will each shelf hold?",7200 / 120,60
"A toy factory has 8,400 dolls and wants to pack them into boxes of 120. How many boxes will be needed?",8400 / 120,70
"A bakery produced 2,400 cookies and wants to pack them into boxes of 50. How many boxes will be needed?",2400 / 50,48
"A grocery store has 6,000 cans of soda to distribute among 100 shelves. How many cans will each shelf hold?",6000 / 100,60
"A library has 4,800 books and wants to arrange them on 120 shelves. How many books will each shelf hold?",4800 / 120,40
"A restaurant has 10,800 utensils to distribute among 180 tables. How many utensils will each table receive?",10800 / 180,60
"A bakery has 3,600 muffins and wants to pack them into boxes of 90. How many boxes will be needed?",3600 / 90,40
"A farmer has 7,200 eggs and wants to pack them into cartons of 12. How many cartons will he need?",7200 / 12,600
"A company has 8,400 leaflets to distribute among 200 employees. How many leaflets will each employee get?",8400 / 200,42
"A toy store has 4,800 stuffed animals and wants to pack them into boxes of 100. How many boxes will be needed?",4800 / 100,48
"A bakery made 2,400 cookies and wants to pack them into boxes of 80. How many boxes will be needed?",2400 / 80,30
"A restaurant has 12,000 plates to distribute among 300 tables. How many plates will each table receive?",12000 / 300,40
"A library has 5,400 books and wants to arrange them on 90 shelves. How many books will each shelf hold?",5400 / 90,60
"A grocery store has 15,000 bags of chips to distribute among 300 shelves. How many bags will each shelf hold?",15000 / 300,50
"A bakery has 8,400 cookies and wants to pack them into boxes of 120. How many boxes will be needed?",8400 / 120,70
"A farmer has 1,200 pumpkins and wants to pack them into bags of 20. How many bags will he need?",1200 / 20,60
"A company has 5,000 leaflets and wants to distribute them among 100 employees. How many leaflets will each employee receive?",5000 / 100,50
"A grocery store has 12,000 bottles of soda to distribute among 240 shelves. How many bottles will each shelf hold?",12000 / 240,50
"A library has 3,600 magazines to arrange on 90 racks. How many magazines will each rack hold?",3600 / 90,40
"A bakery produced 2,400 cupcakes and wants to pack them into boxes of 60. How many boxes will be needed?",2400 / 60,40
"A farmer has 4,800 tomatoes and wants to pack them into boxes of 80. How many boxes will he need?",4800 / 80,60
"A grocery store has 9,600 bags of chips and wants to distribute them among 240 shelves. How many bags will each shelf hold?",9600 / 240,40
"A bakery has 15,000 cookies and wants to pack them into boxes of 200. How many boxes will be needed?",15000 / 200,75
"A school has 3,600 crayons to distribute among 60 students. How many crayons will each student receive?",3600 / 60,60
"A toy factory has 4,800 dolls and wants to pack them into boxes of 60. How many boxes will be needed?",4800 / 60,80
